topik1,topik2,topik3,topik4,topik5,topik6,topik7,topik8
dosen,baik,mahasiswa,fakultas,nasihat,baik,mahasiswa,the
baik,ruang,dosen,fasilitas,dosen,dosen,dosen,my
mahasiswa,materi,baik,mahasiswa,beliau,mahasiswa,akademik,provided
fasilitas,bersih,akademik,baik,mahasiswa,ruang,fasilitas,for
kelas,dosen,fakultas,banyak,perkembangan,berkas,fakultas,lab
ruang,aspek,fasilitas,bersih,harus,ajar,dekan,mampu
fasilkom,nyaman,staf,toilet,akademik,materi,membuktikan,membantu
ti,berkas,ajar,harus,teman,fasilitas,menuntun,dosen
toilet,mahasiswa,kampus,ruang,interaksi,ti,menuntut,mahasiswa
fakultas,laboratorium,ruang,sama,rapat,urus,topik,bad
